V1,V1-3rd,V1-ing,V2,V3
swear,swears,swearing,swore,sworn
sweep,sweeps,sweeping,swept,swept
swim,swims,swimming,swam,swum
take,takes,taking,took,taken
talk,talks,talking,talked,talked
teach,teaches,teaching,taught,taught
tear,tears,tearing,tore,torn
tell,tells,telling,told,told
tend,tends,tending,tended,tended
thank,thanks,thanking,thanked,thanked
think,thinks,thinking,thought,thought
throw,throws,throwing,threw,thrown
treat,treats,treating,treated,treated
try,tries,trying,tried,tried
turn,turns,turning,turned,turned
understand,understands,understanding,understood,understood
use,uses,using,used,used
visit,visits,visiting,visited,visited
wait,waits,waiting,waited,waited
wake,wakes,waking,woke,woken
walk,walks,walking,walked,walked
want,wants,wanting,wanted,wanted
watch,watches,watching,watched,watched
wear,wears,wearing,wore,worn
weep,weeps,weeping,wept,wept
win,wins,winning,won,won
wish,wishes,wishing,wished,wished
wonder,wonders,wondering,wondered,wondered
work,works,working,worked,worked
write,writes,writing,wrote,written
